번호,직무,유형,유형보조,업무형태,원본ID,입력,출력,판별,난이도,한줄요약,파일
"GEN-01","GEN","②취합/통합","③집계/분석","G7 다중 견적 비교 → 최저가/조건 선정","GEN-L1-X1","벤더별 견적서 엑셀 여러 개(양식·컬럼명 제각각)","공통 스키마로 합친 품목별 비교표 + 품목별 최저가 표시","양식이 다른 여러 견적을 행을 보존하며 한 표로 합쳤는가","1","흩어진 거래처 견적을 한 표로 모아 품목별 최저가를 고른다","GEN-01-vendor-quote-consolidation.md"
"GEN-02","GEN","⑤초안 작성","","G4 템플릿 문서 일괄 생성(mail-merge)","GEN-L1-X2","발급 대상 명단 엑셀 + 증서 템플릿","한 명씩 채워진 증서 문서 다수 + 발급대장","명단의 각 행을 템플릿에 부어 없던 문서를 새로 찍어냈는가","1","명단을 받아 한 사람당 증명서 한 장씩 대량으로 만들어낸다","GEN-02-bulk-certificate-merge.md"
"GEN-03","GEN","②취합/통합","","G12 다채널 주문/유입 데이터 표준화","GEN-L1-X4","채널별 주문 파일(웹 엑셀·전화 CSV·제휴 엑셀, 형식 상이)","공통 스키마로 통일된 주문 표(중복 주문 제거)","채널마다 다른 주문 양식을 행 보존하며 하나로 합쳤는가","1","여기저기서 들어온 주문 양식을 하나의 표준 표로 통일한다","GEN-03-order-intake-standardize.md"
"GEN-04","GEN","⑥검증/검수","②취합/통합","G1 두 대장 대사 — 3-way matching(발주·입고·인보이스)","GEN-L2-X1","발주서·입고증·세금계산서 엑셀 + 허용오차 규정 PDF","매칭표 + 수량·단가·누락 불일치(예외) 목록","세 출처를 키로 맞춰 규칙(허용오차)에 어긋난 건만 골라냈는가","2","발주·입고·계산서를 맞대보고 안 맞는 거래를 사유까지 잡아낸다","GEN-04-three-way-match.md"
"GEN-05","GEN","⑥검증/검수","","G1 두 대장 대사 — 은행 거래 vs 장부","GEN-L2-X2","은행 거래내역 엑셀 ↔ 장부 엑셀 + 매칭규칙 PDF","미매칭 거래 목록 + 사유(시점차·수수료·중복)","양쪽을 키로 대조해 규칙상 안 맞는 행만 분리했는가","2","은행 내역과 장부를 대사해 어긋난 거래를 사유와 함께 추린다","GEN-05-bank-ledger-reconcile.md"
"GEN-06","GEN","④분류","","G2/G9 비정형 입력 → 유형·감성 분류","GEN-L2-X5","리뷰·VOC 텍스트 엑셀 + 분류기준·위험규칙 PDF","유형·감성 라벨이 붙은 표 + 채널×유형 교차 집계","자유 텍스트를 정해진 범주 라벨로 판정했는가(애매하면 보류)","2","고객 소리 수천 건을 유형·감성으로 분류하고 급한 건을 가린다","GEN-06-voc-classification.md"
"GEN-07","GEN","①추출/파싱","⑥검증/검수","G11 계약·문서 등록 → 기한/만료 추적","GEN-L2-X4","계약서 PDF 다수 + 계약대장 엑셀 + 갱신규칙 PDF","기한·금액이 채워진 계약대장 + 만료·갱신 대상표(기한순)","구조 없던 계약서에서 기한·금액을 표로 뽑아냈는가","2","계약서들에서 기한·금액을 뽑아 만료·갱신 대상을 추려준다","GEN-07-contract-expiry-tracking.md"
"GEN-08","GEN","③집계/분석","②취합/통합","G3 다출처 종합 → 경향 집계(지점 운영 대시보드)","GEN-L3-X2","지점별 원자료 엑셀(스키마 상이) + 지표정의서 PDF","통합 운영지표 대시보드 + 전월대비·지점 랭킹","여러 행을 줄여 수치·추세 인사이트로 요약했는가","3","지점마다 다른 원자료를 합쳐 월 운영지표 대시보드로 만든다","GEN-08-branch-ops-dashboard.md"
"GEN-09","GEN","③집계/분석","⑥검증/검수","G6 근태·시간 데이터 → 급여/정산 산출","GEN-L3-X3","근태·수당·공제 다파일 + 급여규정 PDF(요율·공제)","항목별 재산정 표 + 오지급·미지급 정정 대상","타임스탬프에 규칙을 적용해 금액 수치로 산출했는가","3","근태를 급여로 다시 계산해 잘못 준 돈을 찾아낸다","GEN-09-payroll-recompute.md"
"GEN-10","GEN","①추출/파싱","⑥검증/검수","G10 OCR 증빙 취합 + 정책 검증","GEN-L3-X1","카드·출장 엑셀 + 영수증 이미지(PNG) + 경비규정 PDF","추출·통합된 경비표 + 중복·한도·주말 위반 위험순위","영수증 이미지에서 항목을 표로 추출했는가","3","영수증 이미지까지 읽어 경비를 모으고 부정·중복을 잡는다","GEN-10-expense-ocr-audit.md"
"MKT-01","MKT","②취합/통합","③집계/분석","M5 다출처 리스트 정규화·중복제거(키워드)","MKT-L1-X1","키워드 툴 export 엑셀 여러 개(중복·표기 상이)","중복 제거된 키워드 표 + 볼륨·난이도 우선순위 점수","여러 export를 행 보존해 합치고 중복만 정리했는가","1","여러 키워드 목록을 합쳐 중복을 빼고 우선순위를 매긴다","MKT-01-keyword-dedup-priority.md"
"MKT-02","MKT","③집계/분석","","M(CRM) 이메일 캠페인 성과 비교","MKT-L1-X2","이메일 발송 결과 엑셀(발송·오픈·클릭·전환)","캠페인별 오픈율·클릭율·전환율 비교표","원지표 행을 비율 지표로 줄여 요약했는가","1","이메일 발송 결과를 캠페인별 오픈·클릭·전환율로 정리한다","MKT-02-email-campaign-rates.md"
"MKT-03","MKT","③집계/분석","","M(이커머스) 상품 성과 랭킹(AOV·전환)","MKT-L1-X3","주문 엑셀 + 세션 엑셀","상품별 매출·전환·AOV 표 + 베스트/워스트 랭킹","로그를 상품 단위 수치로 집계해 순위로 줄였는가","1","주문·세션을 합쳐 상품별 매출·전환·AOV로 베스트를 가린다","MKT-03-product-performance-rank.md"
"MKT-04","MKT","⑥검증/검수","","M11 메타데이터/규칙 감사(길이·중복·누락)","MKT-L1-X4","페이지 크롤 엑셀(URL·title·description) + 규칙 안내","길이 초과·중복·누락 위반 항목표","정해진 규칙에 어긋난 행만 위반으로 판정했는가","1","페이지 제목·설명을 규칙에 맞춰 길이·중복·누락을 잡아낸다","MKT-04-meta-audit.md"
"MKT-05","MKT","④분류","③집계/분석","M8 세그먼트 분류(규칙 기반)","MKT-L2-X1","고객 마스터 엑셀 + 활동 로그 + 세그먼트규칙 PDF","라이프사이클 세그먼트 라벨 표 + 휴면 타깃 리스트","고객을 규칙 기준 범주로 라벨링했는가","2","고객을 활동 기준으로 라이프사이클 세그먼트로 나눈다","MKT-05-lifecycle-segmentation.md"
"MKT-06","MKT","④분류","③집계/분석","M10 비정형 멘션 → 감성·주제 분류 + SoV","MKT-L2-X4","브랜드 멘션 엑셀(기사·SNS 텍스트) + 분류기준 PDF","감성·주제 분류표 + 자사 vs 경쟁 SoV 집계","자유 멘션 텍스트를 감성·주제 범주로 판정했는가","2","브랜드 멘션을 감성·주제로 분류하고 점유율(SoV)을 집계한다","MKT-06-mention-sentiment-sov.md"
"MKT-07","MKT","③집계/분석","","M12 쿠폰/어트리뷰션 기여 집계","MKT-L2-X2","쿠폰 로그 엑셀 + 주문 엑셀 + 기여규칙 PDF","쿠폰별 ROI·채널 기여표 + 적자 쿠폰 플래그","조인한 로그를 쿠폰 단위 기여 수치로 줄였는가","2","쿠폰과 주문을 맞춰 쿠폰별 ROI와 적자 쿠폰을 가려낸다","MKT-07-coupon-roi.md"
